sku,product_type,category
69114,Mugs,Tableware & Drinkware:1
69145,Mugs,Tableware & Drinkware:1
BLWD112,Mugs,Tableware & Drinkware:1
C3026,Mugs,Tableware & Drinkware:1
C3026GB,Mugs,Tableware & Drinkware:1
C3059GCGB,Mugs,Tableware & Drinkware:1
C3059GDGB,Mugs,Tableware & Drinkware:1
C3059GSGB,Mugs,Tableware & Drinkware:1
C3059PGB,Mugs,Tableware & Drinkware:1
C3077BDGB,Mugs,Tableware & Drinkware:1
C3078B,Mugs,Tableware & Drinkware:1
CG1322,Mugs,Tableware & Drinkware:1
CG1324,Mugs,Tableware & Drinkware:1
CG1325,Mugs,Tableware & Drinkware:1
CG1326,Mugs,Tableware & Drinkware:1
CG1327,Mugs,Tableware & Drinkware:1
CG992GF,Mugs,Tableware & Drinkware:1
CG992GM,Mugs,Tableware & Drinkware:1
CM24518,Mugs,Tableware & Drinkware:1
CM24521,Mugs,Tableware & Drinkware:1
CM24530,Mugs,Tableware & Drinkware:1
CM24540,Mugs,Tableware & Drinkware:1
CM24550,Mugs,Tableware & Drinkware:1
CM24560,Mugs,Tableware & Drinkware:1
CM24570,Mugs,Tableware & Drinkware:1
CM24580,Mugs,Tableware & Drinkware:1
CM26018,Mugs,Tableware & Drinkware:1
CM26021,Mugs,Tableware & Drinkware:1
CM26040,Mugs,Tableware & Drinkware:1
CM26050,Mugs,Tableware & Drinkware:1
CM26060,Mugs,Tableware & Drinkware:1
CM26080,Mugs,Tableware & Drinkware:1
CM298G,Mugs,Tableware & Drinkware:1
CM298S,Mugs,Tableware & Drinkware:1
HM1242,Mugs,Tableware & Drinkware:1
HM1297,Mugs,Tableware & Drinkware:1
IWM142,Mugs,Tableware & Drinkware:1
IWM143,Mugs,Tableware & Drinkware:1
IWM144,Mugs,Tableware & Drinkware:1
MP3020,Mugs,Tableware & Drinkware:1
MP3023L,Mugs,Tableware & Drinkware:1
MP3023P,Mugs,Tableware & Drinkware:1
SP1011,Mugs,Tableware & Drinkware:1
WG524,Mugs,Tableware & Drinkware:1
WG541,Mugs,Tableware & Drinkware:1
WG67710,Mugs,Tableware & Drinkware:1
WG67725,Mugs,Tableware & Drinkware:1
WG67740,Mugs,Tableware & Drinkware:1
WG67750,Mugs,Tableware & Drinkware:1
WG678,Mugs,Tableware & Drinkware:1
WG679,Mugs,Tableware & Drinkware:1
WG816,Mugs,Tableware & Drinkware:1
WG818,Mugs,Tableware & Drinkware:1
WG819,Mugs,Tableware & Drinkware:1
WG820,Mugs,Tableware & Drinkware:1
HM1359,Bottle Openers & Corkscrews,Bar & Wine:1
HM1301,Cups & Saucers,Tableware & Drinkware:1
G31821,Glasswares,Tableware & Drinkware:1
G31830,Glasswares,Tableware & Drinkware:1
G31840,Glasswares,Tableware & Drinkware:1
G31850,Glasswares,Tableware & Drinkware:1
G31860,Glasswares,Tableware & Drinkware:1
G31870,Glasswares,Tableware & Drinkware:1
G31880,Glasswares,Tableware & Drinkware:1
HM1257,Tumblers,Tableware & Drinkware:1
HM1258,Tumblers,Tableware & Drinkware:1
WG66525,Glasswares,Tableware & Drinkware:1
WG66530,Glasswares,Tableware & Drinkware:1
WG66540,Glasswares,Tableware & Drinkware:1
WG66550,Glasswares,Tableware & Drinkware:1
WG66560,Glasswares,Tableware & Drinkware:1
WG665WD,Glasswares,Tableware & Drinkware:1
WG666,Glasswares,Tableware & Drinkware:1
WG691,Glasswares,Tableware & Drinkware:1
WG794,Glasswares,Tableware & Drinkware:1
WG80625,Glasswares,Tableware & Drinkware:1
WG80660,Glasswares,Tableware & Drinkware:1
HM1175,Kitchen Timers,Gadgets:1
HM1263,Coasters,Serveware:1
62097,Serving Dishes,Serveware:1
IWM157,Tea Towels/Dishcloths,Other Accessories:1
IWM158,Tea Towels/Dishcloths,Other Accessories:1
IWM159,Tea Towels/Dishcloths,Other Accessories:1
62554,Serving Trays,Serveware:1
62570,Serving Trays,Serveware:1
CG284,Mugs,Tableware & Drinkware:1
CG285,Mugs,Tableware & Drinkware:1
CG286,Mugs,Tableware & Drinkware:1
CG287,Mugs,Tableware & Drinkware:1
CG288,Mugs,Tableware & Drinkware:1
CG289,Mugs,Tableware & Drinkware:1
CG290,Mugs,Tableware & Drinkware:1
CG291,Mugs,Tableware & Drinkware:1
CG321,Egg Cups,Other Accessories:1
CG954,Egg Cups,Other Accessories:1
G349,Glasswares,Tableware & Drinkware:1
G350G,Glasswares,Tableware & Drinkware:1
G350N,Glasswares,Tableware & Drinkware:1
G350NAN,Glasswares,Tableware & Drinkware:1
G351M,Glasswares,Tableware & Drinkware:1
G355,Glasswares,Tableware & Drinkware:1
GV489,Plates & Bowls,Tableware & Drinkware:1
HM1039,Bottle Openers & Corkscrews,Bar & Wine:1
HM1386,Kitchen Scales,Gadgets:1
HM1393,Kitchen Timers,Gadgets:1
HM1501,Mugs,Tableware & Drinkware:1
HM1785,Mugs,Tableware & Drinkware:1
HM1786,Mugs,Tableware & Drinkware:1
HM1787,Mugs,Tableware & Drinkware:1
HM1789,Mugs,Tableware & Drinkware:1
HM209,Mugs,Tableware & Drinkware:1
HM210,Glasswares,Tableware & Drinkware:1
HM212,Cocktail Shakers & Sets,Bar & Wine:1
HM214,Bottle Stoppers & Corks,Bar & Wine:1
HM230,Glasswares,Tableware & Drinkware:1
HM253,Mugs,Tableware & Drinkware:1
HM254,Mugs,Tableware & Drinkware:1
HM255,Mugs,Tableware & Drinkware:1
HM256,Mugs,Tableware & Drinkware:1
HM264,Glasswares,Tableware & Drinkware:1
HM265,Glasswares,Tableware & Drinkware:1
HM266,Glasswares,Tableware & Drinkware:1
HM267,Glasswares,Tableware & Drinkware:1
HM268,Glasswares,Tableware & Drinkware:1
HM269,Glasswares,Tableware & Drinkware:1
HM270,Glasswares,Tableware & Drinkware:1
HM273,Glasswares,Tableware & Drinkware:1
HM274,Glasswares,Tableware & Drinkware:1
HM275,Glasswares,Tableware & Drinkware:1
HM276,Glasswares,Tableware & Drinkware:1
HM277,Glasswares,Tableware & Drinkware:1
HM278,Coasters,Serveware:1
HM279,Coasters,Serveware:1
HM432,Bottle Openers & Corkscrews,Bar & Wine:1
SP1588,Ice Buckets & Wine Coolers,Bar & Wine:1
SP1589,Glasswares,Tableware & Drinkware:1
SP1592,Glasswares,Tableware & Drinkware:1
SP1593,Glasswares,Tableware & Drinkware:1
SP1594,Glasswares,Tableware & Drinkware:1
SP1598,Coasters,Serveware:1
SP1723,Glasswares,Tableware & Drinkware:1
SP1729,Glasswares,Tableware & Drinkware:1
SP1730,Glasswares,Tableware & Drinkware:1
SP1767,Glasswares,Tableware & Drinkware:1
SP1768,Glasswares,Tableware & Drinkware:1
SP1769,Glasswares,Tableware & Drinkware:1
SP1771,Glasswares,Tableware & Drinkware:1
SP1772,Glasswares,Tableware & Drinkware:1
SP1791,Mugs,Tableware & Drinkware:1
SP1792,Mugs,Tableware & Drinkware:1
SP1793,Mugs,Tableware & Drinkware:1
SP1794,Mugs,Tableware & Drinkware:1
SP1795,Glasswares,Tableware & Drinkware:1
SP1796,Glasswares,Tableware & Drinkware:1
SP1797,Glasswares,Tableware & Drinkware:1
SP1798,Glasswares,Tableware & Drinkware:1
SP1799,Glasswares,Tableware & Drinkware:1
SP1800,Glasswares,Tableware & Drinkware:1
SP1821,Mugs,Tableware & Drinkware:1
WG10325,Glasswares,Tableware & Drinkware:1
WG10340,Glasswares,Tableware & Drinkware:1
WG10350,Glasswares,Tableware & Drinkware:1
WG10360,Glasswares,Tableware & Drinkware:1
WG103BG,Glasswares,Tableware & Drinkware:1
WG119,Mugs,Tableware & Drinkware:1
WG12140,Glasswares,Tableware & Drinkware:1
WG12160,Glasswares,Tableware & Drinkware:1
WG121BG,Glasswares,Tableware & Drinkware:1
WG12225,Mugs,Tableware & Drinkware:1
WG12240,Mugs,Tableware & Drinkware:1
WG12250,Mugs,Tableware & Drinkware:1
WG12260,Mugs,Tableware & Drinkware:1
WG122MM,Mugs,Tableware & Drinkware:1
WG133,Glasswares,Tableware & Drinkware:1
WG202,Mugs,Tableware & Drinkware:1
WG204,Glasswares,Tableware & Drinkware:1
6281,Bottle Openers & Corkscrews,Bar & Wine:1
104295,Canisters & Jars,Storage & Organization:1
104341,Canisters & Jars,Storage & Organization:1
104487,Canisters & Jars,Storage & Organization:1
1103678,Canisters & Jars,Storage & Organization:1
1104277,Canisters & Jars,Storage & Organization:1
1206313,Canisters & Jars,Storage & Organization:1
1209728,Canisters & Jars,Storage & Organization:1
1209756,Canisters & Jars,Storage & Organization:1
1209757,Canisters & Jars,Storage & Organization:1
1209758,Canisters & Jars,Storage & Organization:1
1209760,Canisters & Jars,Storage & Organization:1
1209762,Canisters & Jars,Storage & Organization:1
1209763,Canisters & Jars,Storage & Organization:1
1209764,Canisters & Jars,Storage & Organization:1
1209769,Canisters & Jars,Storage & Organization:1
1209770,Canisters & Jars,Storage & Organization:1
1209771,Canisters & Jars,Storage & Organization:1
1209772,Canisters & Jars,Storage & Organization:1
1209773,Canisters & Jars,Storage & Organization:1
1209774,Canisters & Jars,Storage & Organization:1
1209775,Canisters & Jars,Storage & Organization:1
1209776,Canisters & Jars,Storage & Organization:1
1209777,Canisters & Jars,Storage & Organization:1
1209780,Canisters & Jars,Storage & Organization:1
1209786,Canisters & Jars,Storage & Organization:1
1209787,Canisters & Jars,Storage & Organization:1
1209788,Canisters & Jars,Storage & Organization:1
1209790,Canisters & Jars,Storage & Organization:1
1209807,Canisters & Jars,Storage & Organization:1
1209808,Canisters & Jars,Storage & Organization:1
1209809,Canisters & Jars,Storage & Organization:1
1209810,Canisters & Jars,Storage & Organization:1
1209811,Canisters & Jars,Storage & Organization:1
1209812,Canisters & Jars,Storage & Organization:1
1209818,Canisters & Jars,Storage & Organization:1
1209819,Canisters & Jars,Storage & Organization:1
1209820,Canisters & Jars,Storage & Organization:1
1209821,Canisters & Jars,Storage & Organization:1
1209822,Canisters & Jars,Storage & Organization:1
1209823,Canisters & Jars,Storage & Organization:1
1209824,Canisters & Jars,Storage & Organization:1
1209827,Canisters & Jars,Storage & Organization:1
1209828,Canisters & Jars,Storage & Organization:1
1209831,Canisters & Jars,Storage & Organization:1
1209832,Canisters & Jars,Storage & Organization:1
1209834,Canisters & Jars,Storage & Organization:1
1209835,Canisters & Jars,Storage & Organization:1
1209840,Canisters & Jars,Storage & Organization:1
1209847,Canisters & Jars,Storage & Organization:1
1209848,Canisters & Jars,Storage & Organization:1
1209849,Canisters & Jars,Storage & Organization:1
1209850,Canisters & Jars,Storage & Organization:1
1209851,Canisters & Jars,Storage & Organization:1
1209852,Canisters & Jars,Storage & Organization:1
1209853,Canisters & Jars,Storage & Organization:1
1209854,Canisters & Jars,Storage & Organization:1
1209862,Canisters & Jars,Storage & Organization:1
1209863,Canisters & Jars,Storage & Organization:1
1209864,Canisters & Jars,Storage & Organization:1
1209865,Canisters & Jars,Storage & Organization:1
1209866,Canisters & Jars,Storage & Organization:1
1209867,Canisters & Jars,Storage & Organization:1
1209868,Canisters & Jars,Storage & Organization:1
1209870,Canisters & Jars,Storage & Organization:1
1402532,Canisters & Jars,Storage & Organization:1
1402534,Canisters & Jars,Storage & Organization:1
1402543,Canisters & Jars,Storage & Organization:1
1402546,Canisters & Jars,Storage & Organization:1
1402562,Canisters & Jars,Storage & Organization:1
1402563,Canisters & Jars,Storage & Organization:1
1402565,Canisters & Jars,Storage & Organization:1
1402567,Canisters & Jars,Storage & Organization:1
1402568,Canisters & Jars,Storage & Organization:1
1402569,Canisters & Jars,Storage & Organization:1
1402583,Canisters & Jars,Storage & Organization:1
1402632,Canisters & Jars,Storage & Organization:1
1402633,Canisters & Jars,Storage & Organization:1
1402635,Canisters & Jars,Storage & Organization:1
1402636,Canisters & Jars,Storage & Organization:1
1402637,Canisters & Jars,Storage & Organization:1
1402640,Canisters & Jars,Storage & Organization:1
1402658,Canisters & Jars,Storage & Organization:1
1402659,Canisters & Jars,Storage & Organization:1
1403192,Canisters & Jars,Storage & Organization:1
1411216,Canisters & Jars,Storage & Organization:1
1601589,Canisters & Jars,Storage & Organization:1
1601599,Canisters & Jars,Storage & Organization:1
1601600,Canisters & Jars,Storage & Organization:1
1601634,Canisters & Jars,Storage & Organization:1
1601641,Canisters & Jars,Storage & Organization:1
1601646,Canisters & Jars,Storage & Organization:1
1601669,Canisters & Jars,Storage & Organization:1
1601670,Canisters & Jars,Storage & Organization:1
1601671,Canisters & Jars,Storage & Organization:1
1601672,Canisters & Jars,Storage & Organization:1
1601673,Canisters & Jars,Storage & Organization:1
1601674,Canisters & Jars,Storage & Organization:1
1601675,Canisters & Jars,Storage & Organization:1
1601676,Canisters & Jars,Storage & Organization:1
1601677,Canisters & Jars,Storage & Organization:1
2800151,Canisters & Jars,Storage & Organization:1
507304,Canisters & Jars,Storage & Organization:1
507305,Canisters & Jars,Storage & Organization:1
507306,Canisters & Jars,Storage & Organization:1
507307,Canisters & Jars,Storage & Organization:1
507308,Canisters & Jars,Storage & Organization:1
507309,Canisters & Jars,Storage & Organization:1
507310,Canisters & Jars,Storage & Organization:1
507311,Canisters & Jars,Storage & Organization:1
507312,Canisters & Jars,Storage & Organization:1
507313,Canisters & Jars,Storage & Organization:1
507314,Canisters & Jars,Storage & Organization:1
507315,Canisters & Jars,Storage & Organization:1
507316,Canisters & Jars,Storage & Organization:1
507317,Canisters & Jars,Storage & Organization:1
507318,Canisters & Jars,Storage & Organization:1
507460,Canisters & Jars,Storage & Organization:1
507461,Canisters & Jars,Storage & Organization:1
507479,Canisters & Jars,Storage & Organization:1
507482,Canisters & Jars,Storage & Organization:1
507483,Canisters & Jars,Storage & Organization:1
507484,Canisters & Jars,Storage & Organization:1
507488,Canisters & Jars,Storage & Organization:1
507489,Canisters & Jars,Storage & Organization:1
507501,Canisters & Jars,Storage & Organization:1
507502,Canisters & Jars,Storage & Organization:1
507503,Canisters & Jars,Storage & Organization:1
507511,Canisters & Jars,Storage & Organization:1
507512,Canisters & Jars,Storage & Organization:1
507513,Canisters & Jars,Storage & Organization:1
507514,Canisters & Jars,Storage & Organization:1
507515,Canisters & Jars,Storage & Organization:1
507516,Canisters & Jars,Storage & Organization:1
507601,Canisters & Jars,Storage & Organization:1
507602,Canisters & Jars,Storage & Organization:1
507603,Canisters & Jars,Storage & Organization:1
507604,Canisters & Jars,Storage & Organization:1
507620,Canisters & Jars,Storage & Organization:1
507621,Canisters & Jars,Storage & Organization:1
507623,Canisters & Jars,Storage & Organization:1
507627,Canisters & Jars,Storage & Organization:1
507628,Canisters & Jars,Storage & Organization:1
507629,Canisters & Jars,Storage & Organization:1
507631,Canisters & Jars,Storage & Organization:1
507633,Canisters & Jars,Storage & Organization:1
507634,Canisters & Jars,Storage & Organization:1
507635,Canisters & Jars,Storage & Organization:1
507711,Canisters & Jars,Storage & Organization:1
507713,Canisters & Jars,Storage & Organization:1
507714,Canisters & Jars,Storage & Organization:1
507715,Canisters & Jars,Storage & Organization:1
507720,Canisters & Jars,Storage & Organization:1
507721,Canisters & Jars,Storage & Organization:1
507722,Canisters & Jars,Storage & Organization:1
507724,Canisters & Jars,Storage & Organization:1
507726,Canisters & Jars,Storage & Organization:1
507728,Canisters & Jars,Storage & Organization:1
507805,Canisters & Jars,Storage & Organization:1
507807,Canisters & Jars,Storage & Organization:1
507808,Canisters & Jars,Storage & Organization:1
507814,Canisters & Jars,Storage & Organization:1
507815,Canisters & Jars,Storage & Organization:1
507816,Canisters & Jars,Storage & Organization:1
507817,Canisters & Jars,Storage & Organization:1
507900,Canisters & Jars,Storage & Organization:1
507912,Canisters & Jars,Storage & Organization:1
507913,Canisters & Jars,Storage & Organization:1
507914,Canisters & Jars,Storage & Organization:1
507916,Canisters & Jars,Storage & Organization:1
507918,Canisters & Jars,Storage & Organization:1
507919,Canisters & Jars,Storage & Organization:1
507926,Canisters & Jars,Storage & Organization:1
507928,Canisters & Jars,Storage & Organization:1
507929,Canisters & Jars,Storage & Organization:1
507930,Canisters & Jars,Storage & Organization:1
507931,Canisters & Jars,Storage & Organization:1
507935,Canisters & Jars,Storage & Organization:1
507936,Canisters & Jars,Storage & Organization:1
507937,Canisters & Jars,Storage & Organization:1
507938,Canisters & Jars,Storage & Organization:1
508495,Canisters & Jars,Storage & Organization:1
508496,Canisters & Jars,Storage & Organization:1
508497,Canisters & Jars,Storage & Organization:1
508498,Canisters & Jars,Storage & Organization:1
508521,Canisters & Jars,Storage & Organization:1
508522,Canisters & Jars,Storage & Organization:1
508528,Canisters & Jars,Storage & Organization:1
508531,Canisters & Jars,Storage & Organization:1
508546,Canisters & Jars,Storage & Organization:1
508547,Canisters & Jars,Storage & Organization:1
508675,Canisters & Jars,Storage & Organization:1
508676,Canisters & Jars,Storage & Organization:1
508677,Canisters & Jars,Storage & Organization:1
508678,Canisters & Jars,Storage & Organization:1
508679,Canisters & Jars,Storage & Organization:1
508680,Canisters & Jars,Storage & Organization:1
508681,Canisters & Jars,Storage & Organization:1
508682,Canisters & Jars,Storage & Organization:1
508683,Canisters & Jars,Storage & Organization:1
508851,Canisters & Jars,Storage & Organization:1
508857,Canisters & Jars,Storage & Organization:1
508858,Canisters & Jars,Storage & Organization:1
508868,Canisters & Jars,Storage & Organization:1
508875,Canisters & Jars,Storage & Organization:1
508988,Canisters & Jars,Storage & Organization:1
508990,Canisters & Jars,Storage & Organization:1
509886,Canisters & Jars,Storage & Organization:1
509889,Canisters & Jars,Storage & Organization:1
509890,Canisters & Jars,Storage & Organization:1
510008,Canisters & Jars,Storage & Organization:1
510012,Canisters & Jars,Storage & Organization:1
510013,Canisters & Jars,Storage & Organization:1
721239,Canisters & Jars,Storage & Organization:1
721245,Canisters & Jars,Storage & Organization:1
721248,Canisters & Jars,Storage & Organization:1
721381,Canisters & Jars,Storage & Organization:1
